Dahlia, 45196, 4007437250, CA, 230,064,334.19, 421,617,937.29, 3.2
Fahed, 34458, 9073536789, NJ, 647,955,907.94, 683,138,108.15, 1.3
Mary Ellen, 16721, 0158668010, NY, 738,919,996.80, 196,329,715.10, 0.1
Mary Ellen, 16721, 0146066949, NJ, 405,827,029.87, 337,352,307.69, 4.6
Dahlia, 45196, 5123952003, WA, 874,678,004.55, 377,143,215.31, 2.3
Fahed, 34458, 2175573902, PR, 993,578,337.33, 168,284,373.73, 3.3
Fahed, 34458, 3261012768, PR, 157,648,542.28, 944,238,190.89, 4.4
Alice, 58959, 9513488179, WA, 160,430,634.17, 175,573,314.07, 0.3
Mary Ellen, 16721, 0612236253, NY, 858,786,624.88, 932,892,993.55, 0.1
Gil-dong, 49492, 4042937721, NY, 423,949,915.74, 405,349,599.17, 3.2
D'Andre, 59108, 3323975449, CA, 431,311,022.98, 457,533,424.11, 0.5
Fahed, 34458, 7200988069, NJ, 932,325,572.53, 348,444,290.00, 4.6
Fahed, 34458, 8813204952, PR, 562,449,281.07, 399,513,189.39, 3.7
Jonathan, 16984, 8884925715, PA, 234,163,971.84, 833,177,112.49, 1.2
Dahlia, 45196, 8386806446, PA, 840,863,466.13, 965,532,297.61, 4.2
Mary Ellen, 16721, 4979059211, NJ, 685,345,422.41, 47,648,744.29, 3.8
Mary Ellen, 16721, 1568074497, MN, 615,274,832.30, 44,828,025.06, 0.1
Jean-Paul, 34692, 3566343035, NJ, 123,319,737.00, 449,933,841.85, 1.3
Mary Ellen, 16721, 3545714142, NY, 106,327,664.31, 526,379,399.33, 0.2
Jonathan, 16984, 3054906714, PA, 60,390,643.12, 868,250,969.45, 0.6
Dahlia, 45196, 5111127080, FL, 755,031,402.59, 134,592,695.83, 3.2
Fahed, 34458, 3869609384, CA, 47,228,130.69, 15,509,475.08, 3.9
D'Andre, 59108, 7978472719, PR, 105,839,741.74, 540,225,110.62, 2.2
