Fahed, 08614, 0508107724, NJ, 938,270,414.39, -110,177.27
Bob, 13153, 8550734872, CA, 711,720,238.08, 463,928,613.71
Jonathan, 04246, 4832206481, NJ, 407,738,777.46, -139,366,605.79
D'Andre, 14777, 3016797847, PR, 312,566,744.64, -152,707,881.03
Jean-Paul, 08673, 3361670221, FL, 91,163,773.82, -613,740,226.34
Dahlia, 11299, 9593228059, GA, 35,389,991.06, -902,805,831.11
Jean-Paul, 08673, 1219334664, GA, 359,199,581.75, 243,393,342.80
Fahed, 08614, 1340532639, PR, 450,765,772.81, -345,633,941.71
Mary Ellen, 04180, 0855341720, CA, 767,702,878.57, 53,511,686.50
Bob, 13153, 4208665476, WA, 331,481,138.83, -88,405,031.26
D'Andre, 14777, 7504404667, PR, 192,536,026.36, -654,799,670.73
Jean-Paul, 08673, 3546253705, GA, 235,753,619.40, -478,916,526.01
D'Andre, 14777, 5068037400, NJ, 474,664,184.88, 84,028,240.92
Jonathan, 04246, 4610583224, PA, 149,026,953.84, 103,554,186.57
