Fahed, 34458, 6386464949, NJ, 700,836,298.99, 85,857,852.55
Jean-Paul, 34692, 8925042702, MN, 219,437,239.60, -693,582,019.48
D'Andre, 59108, 7365649408, LA, 906,885,296.24, 267,591,304.20
Dahlia, 45196, 9012158278, GA, 855,552,840.59, 24,311,318.72
Jonathan, 16984, 0647312879, PR, 181,639,579.39, 161,433,528.36
Dahlia, 45196, 0683583177, MN, 121,909,951.84, 41,862,326.30
Jean-Paul, 34692, 1301100031, CA, 755,477,085.28, 560,084,180.93
Fahed, 34458, 1778768248, PA, 374,789,353.36, 211,877,841.17
Fahed, 34458, 6050550685, LA, 693,417,171.74, -134,434,806.05
Mary Ellen, 16721, 3887245235, MN, 826,920,021.18, 70,599,640.42
D'Andre, 59108, 6760219667, MN, 893,488,043.20, 590,837,701.83
Jean-Paul, 34692, 1937323125, NY, 962,113,759.62, 630,217,752.40
Gil-dong, 49492, 4268614537, NY, 171,346,164.97, -570,238,297.23
Bob, 52614, 9778337583, NJ, 955,504,792.50, 179,969,936.45
Mary Ellen, 16721, 9348024833, FL, 414,362,566.10, -550,641,748.33
Fahed, 34458, 4084478964, CA, 570,018,000.51, 289,851,864.37
Gil-dong, 49492, 7910134468, GA, 920,457,302.26, -61,903,680.33
Fahed, 34458, 1468909626, PR, 618,809,786.02, 564,975,997.17
